age,balance,duration,campaign,subscribed
56,49788,361,4,1
50,34493,290,1,1
18,43182,494,1,1
44,8073,347,1,0
30,8677,85,1,0
58,8170,133,8,0
20,8766,501,3,0
56,36468,434,6,1
23,6883,221,3,0
25,46094,425,5,1
44,42014,411,7,1
26,5071,190,2,0
54,13590,167,6,0
50,45819,326,6,1
59,45180,269,3,1
61,2090,75,6,0
41,5399,570,5,0
32,45865,59,2,0
49,20056,427,9,1
49,22459,201,8,0
41,46340,98,3,0
58,37248,203,8,0
29,28834,342,9,1
56,4857,99,3,0
19,19197,580,3,0
20,10495,109,2,0
54,16341,216,8,0
34,38456,251,1,1
19,27796,195,8,0
19,5044,488,7,0
45,46263,291,7,1
40,19916,532,3,0
54,49940,157,1,0
49,37111,275,4,1
50,25017,481,9,1
18,31295,468,5,1
36,21666,504,1,1
19,10016,209,5,0
61,20906,572,8,1
43,10084,126,8,0
49,1859,558,5,0
23,42049,490,9,1
49,26938,303,1,1
21,2582,369,4,0
28,24542,312,3,1
34,33819,423,2,1
55,28065,216,8,0
41,2179,508,7,0
22,2817,329,9,0
51,28052,351,2,1
23,21008,580,4,1
39,42560,267,6,1
28,24961,151,3,0
33,7411,337,8,0
50,28171,216,3,0
26,23670,85,2,0
23,18549,402,3,0
33,33636,122,6,0
46,38358,402,2,1
20,48402,119,8,0
37,28965,474,1,1
53,6745,566,7,0
36,38100,477,2,1
43,26837,588,6,1
20,11585,209,2,0
36,38665,198,2,0
37,25622,279,8,1
49,12442,116,2,0
24,40906,430,7,1
58,48870,107,3,0
50,13187,308,8,0
57,37741,391,7,1
56,34349,179,8,0
35,10193,221,7,0
57,47290,258,6,1
18,16538,403,7,0
28,40511,520,5,1
45,26499,165,7,0
42,19946,313,1,0
40,15808,491,1,0
48,44139,597,9,1
47,45468,502,5,1
59,11098,526,5,0
52,47163,336,3,1
24,30778,352,5,1
33,10782,360,3,0
43,49248,257,9,1
19,8619,495,9,0
18,31580,104,6,0
29,19794,61,1,0
22,3400,449,7,0
54,6822,564,7,0
49,40086,591,4,1
26,24260,286,8,1
58,20159,328,6,1
52,35922,397,4,1
36,13675,153,4,0
33,8070,566,2,0
20,35011,297,2,1
37,21691,413,4,1
41,31921,370,5,1
50,9603,335,8,0
41,48017,198,6,0
28,19022,133,4,0
25,12275,455,7,0
53,41224,505,8,1
55,21489,210,2,0
57,47938,509,7,1
37,922,599,2,0
52,17427,549,2,0
42,47157,558,8,1
52,6250,530,2,0
42,4525,163,9,0
46,16132,410,1,0
35,2298,390,9,0
63,20179,498,1,1
35,36320,229,2,0
19,41974,456,6,1
52,13959,245,6,0
33,31519,515,1,1
58,8805,360,7,0
53,42980,311,8,1
50,23336,468,2,1
21,22519,455,8,1
50,20078,192,9,0
31,37709,391,6,1
38,15458,365,5,0
37,34277,150,9,0
25,29478,293,9,1
24,37434,539,1,1
20,11482,61,3,0
34,14696,288,9,0
50,33672,91,2,0
29,13321,478,4,0
39,1379,207,4,0
39,46060,265,2,1
63,7183,511,3,0
47,43961,183,3,0
55,17871,116,1,0
55,30075,56,6,0
62,45748,575,8,1
25,48385,122,3,0
44,19163,448,5,0
44,2206,454,1,0
51,24657,179,7,0
38,48954,515,1,1
47,20707,255,9,1
50,37699,315,8,1
45,28629,586,7,1
64,36054,302,7,1
50,27956,338,5,1
22,2673,213,5,0
36,12908,144,5,0
21,35467,159,1,0
52,36901,385,8,1
34,41296,287,1,1
61,34172,430,4,1
45,23852,485,9,1
47,17785,532,9,0
46,41501,74,5,0
63,11472,166,4,0
23,9096,531,3,0
52,16558,441,3,0
58,31989,586,5,1
54,26765,128,1,0
41,38343,222,5,0
46,31753,61,6,0
63,26757,177,7,0
48,40052,141,9,0
52,22280,592,3,1
50,31996,581,2,1
38,12975,496,3,0
49,1722,439,9,0
40,48856,92,7,0
50,40909,303,9,1
20,16825,179,2,0
35,40860,109,5,0
42,15746,516,4,0
59,17129,336,2,0
48,29502,566,9,1
20,4363,516,9,0
57,31087,394,6,1
63,46928,431,6,1
41,48024,302,8,1
49,8746,105,6,0
64,27629,512,1,1
39,11764,506,4,0
40,35837,132,7,0
19,35896,148,2,0
44,24127,198,9,0
59,29473,378,8,1
19,36497,205,8,0
43,20709,239,7,0
34,35935,543,4,1
57,38809,312,2,1
50,19350,129,3,0
26,21272,449,6,1
60,11655,309,5,0
56,21974,150,8,0
46,13181,408,6,0
59,24163,429,6,1
43,6919,270,1,0
52,25812,469,4,1
42,24862,173,5,0
41,11146,471,3,0
30,31563,280,9,1
24,28869,112,1,0
53,23250,534,6,1
62,2811,532,6,0
37,4953,568,5,0
18,29177,204,5,0
25,23963,141,5,0
63,21892,575,6,1
33,40583,504,8,1
31,9042,559,2,0
29,48375,232,6,0
40,48694,435,1,1
32,1862,454,4,0
45,32087,295,3,1
51,15950,520,9,0
19,12212,472,3,0
49,24158,114,6,0
40,45520,62,1,0
39,38990,262,6,1
42,581,291,4,0
39,47404,542,8,1
39,33021,262,9,1
59,40485,387,4,1
23,1624,222,6,0
32,34988,213,1,0
60,15148,514,4,0
54,35211,546,7,1
50,38004,444,1,1
25,34108,357,8,1
61,160,232,6,0
61,9230,559,5,0
22,18123,595,9,0
56,45180,276,2,1
21,13450,485,5,0
23,24454,471,6,1
62,45286,70,7,0
49,28245,446,5,1
47,34120,154,9,0
64,20687,241,1,0
52,41231,66,7,0
57,9750,169,7,0
33,20033,442,4,1
30,20681,474,9,1
59,23493,178,5,0
47,23151,179,4,0
36,26312,78,7,0
34,49182,146,4,0
36,4190,59,3,0
45,7060,291,9,0
43,35872,281,8,1
54,21620,333,1,1
43,49581,249,7,0
40,36508,128,9,0
26,28570,222,8,0
29,20591,516,8,1
18,1441,465,6,0
18,44723,498,4,1
64,24891,136,8,0
51,438,150,3,0
49,5995,57,9,0
42,12354,249,2,0
57,11444,554,2,0
62,1850,136,7,0
18,2521,92,4,0
33,39987,434,8,1
56,5419,484,9,0
22,15996,457,7,0
39,12018,532,5,0
46,25164,66,8,0
20,46717,197,4,0
29,28035,326,2,1
43,37741,281,6,1
33,29811,415,9,1
54,4906,277,1,0
39,41460,485,7,1
46,12282,448,9,0
31,22397,260,9,1
45,19641,440,3,0
22,29021,548,5,1
64,16874,589,8,0
47,44913,540,8,1
63,37298,491,4,1
22,8920,310,1,0
29,24170,399,1,1
33,4332,401,4,0
43,11222,569,6,0
43,15123,369,8,0
38,8107,187,6,0
56,18005,599,9,0
53,41886,417,9,1
50,29498,269,2,1
47,34368,386,1,1
54,6837,272,2,0
40,36162,409,5,1
27,25610,378,4,1
22,19526,512,4,0
53,37365,431,9,1
51,17950,218,8,0
48,714,266,6,0
27,21876,427,1,1
36,24177,168,2,0
49,9474,239,6,0
18,35535,419,2,1
22,31007,198,5,0
62,13509,537,5,0
21,16614,423,6,0
33,29966,209,6,0
41,3083,400,6,0
33,31805,337,2,1
19,20762,337,3,1
45,23610,275,6,1
49,12751,572,8,0
44,41098,571,1,1
37,28635,322,1,1
41,6740,451,2,0
29,44647,232,6,0
52,15417,537,9,0
50,7664,173,4,0
50,27445,463,3,1
60,48388,221,8,0
54,28787,337,9,1
29,13837,484,5,0
20,9423,162,9,0
18,15329,171,2,0
50,44581,593,3,1
57,8602,271,7,0
27,645,88,7,0
60,37214,546,6,1
61,29530,282,6,1
46,10096,579,2,0
30,27888,198,6,0
29,30069,446,4,1
48,48643,351,3,1
63,14019,409,2,0
19,3910,287,1,0
52,30686,285,5,1
40,40074,252,2,1
34,41873,305,2,1
43,16471,284,7,0
25,45184,394,8,1
46,29729,583,8,1
43,8536,515,4,0
27,13084,590,1,0
43,33139,262,7,1
51,19995,512,1,0
58,18255,485,4,0
24,10716,332,8,0
21,37229,512,2,1
62,39937,456,6,1
28,24674,137,6,0
46,3530,93,9,0
53,12776,510,5,0
42,10916,327,4,0
38,32833,470,5,1
53,20244,402,5,1
27,2150,564,8,0
54,44560,68,8,0
26,34033,72,2,0
41,25051,462,7,1
52,32513,79,8,0
52,34901,157,6,0
53,33013,416,5,1
35,47137,330,9,1
56,40700,177,3,0
49,25380,278,4,1
41,24657,160,9,0
40,47154,185,6,0
49,35500,411,8,1
54,4594,235,7,0
29,15252,178,2,0
30,23995,310,3,1
40,9255,564,1,0
42,31983,498,9,1
52,43294,153,7,0
58,43101,532,1,1
47,1928,273,3,0
34,45128,540,4,1
37,41998,522,4,1
42,32223,59,5,0
39,37673,454,3,1
30,906,351,3,0
36,41070,280,1,1
53,29857,115,7,0
29,34736,161,1,0
58,14661,62,2,0
36,48380,442,4,1
29,24362,549,4,1
26,14999,283,5,0
24,49088,363,2,1
45,16034,61,4,0
31,38297,258,1,1
48,41944,63,2,0
36,36432,467,1,1
64,34257,486,4,1
33,11693,426,4,0
22,40142,69,7,0
52,17420,119,9,0
29,27476,260,9,1
42,43613,150,5,0
38,14299,181,1,0
53,15976,430,1,0
40,8345,181,6,0
33,7314,69,2,0
56,826,585,8,0
62,46700,276,9,1
59,11462,203,4,0
56,18397,518,5,0
31,30548,454,8,1
48,26272,251,3,1
22,42974,87,5,0
52,7757,237,3,0
40,18950,106,3,0
46,25525,69,3,0
60,26785,322,7,1
28,47419,168,7,0
35,24678,565,7,1
64,28931,270,8,1
29,8006,575,5,0
26,7387,564,5,0
27,33760,385,4,1
61,10322,104,7,0
34,37543,549,4,1
55,34801,585,2,1
24,17864,211,4,0
63,44741,208,8,0
30,17774,237,9,0
57,18124,109,3,0
59,46107,368,7,1
26,23974,260,9,1
44,43742,455,4,1
19,32384,158,3,0
22,17702,125,5,0
46,37884,591,1,1
54,23365,363,3,1
55,26031,166,8,0
36,28941,68,8,0
25,29292,481,4,1
62,46642,399,2,1
18,42620,232,8,0
39,15685,162,8,0
34,25659,232,4,0
24,40159,530,3,1
42,33842,195,2,0
62,4233,162,9,0
21,14763,525,1,0
53,21854,352,7,1
23,4072,167,5,0
48,5395,210,8,0
36,46781,450,4,1
61,41973,247,7,0
56,29225,309,5,1
44,41096,96,5,0
27,10003,448,9,0
43,3120,127,9,0
36,41855,173,9,0
56,20520,124,6,0
20,21552,186,6,0
62,45748,449,5,1
30,38101,554,9,1
45,9616,549,8,0
37,47427,187,7,0
45,49569,99,7,0
25,2496,303,6,0
58,18646,475,5,0
56,19229,596,4,0
18,1691,351,3,0
20,11403,398,3,0
30,30661,98,6,0
45,6283,123,4,0
42,26672,310,6,1
50,34180,405,3,1
55,20795,309,4,1
23,7414,344,9,0
61,19723,362,5,0
62,2239,231,7,0
49,47556,413,2,1
62,31390,237,5,0
64,18188,592,9,0
38,39792,597,3,1
33,33230,457,9,1
38,32188,463,6,1
28,26392,391,4,1
54,46349,269,7,1
53,20770,212,8,0
52,3838,269,6,0
36,2569,319,5,0
37,22634,449,6,1
35,48974,231,5,0
64,49808,254,8,1
58,9117,277,1,0
31,2908,299,7,0
32,49238,490,2,1
48,47738,582,9,1
18,12813,245,1,0
20,40429,568,6,1
33,2819,119,9,0
40,22990,448,1,1
28,11800,252,4,0
29,36609,197,4,0
27,42634,521,9,1
49,36866,248,5,0
33,26805,475,5,1
25,18887,541,6,0
55,48945,191,1,0
29,26688,362,1,1
41,26223,214,9,0
45,33162,363,3,1
25,10277,70,4,0
45,21827,131,1,0
53,30320,180,9,0
43,9982,354,8,0
25,1236,420,2,0
45,34932,433,8,1
45,32066,494,7,1
54,7109,474,6,0
58,13087,210,1,0
53,37411,227,7,0
44,31675,539,7,1
34,1107,376,9,0
26,5545,338,1,0
50,10806,403,2,0
37,47617,77,9,0
30,44586,92,9,0
45,29357,472,6,1
46,21836,226,6,0
30,42307,578,4,1
63,13381,543,4,0
52,1535,247,5,0
23,33439,566,3,1
35,35250,563,1,1
22,25921,71,1,0
64,26760,161,7,0
42,5184,106,1,0
19,16761,115,1,0
27,13607,147,3,0
47,7159,193,4,0
62,18371,484,4,0
22,45639,135,2,0
50,7591,393,1,0
18,47395,343,3,1
35,14959,292,4,0
49,8173,81,3,0
64,9177,440,8,0
28,21053,326,1,1
38,11483,581,2,0
43,49246,203,7,0
42,2453,432,4,0
39,23921,117,8,0
44,37667,263,3,1
30,49938,425,6,1
50,24960,262,9,1
51,21295,128,1,0
58,12039,430,1,0
52,25438,107,8,0
18,21830,75,3,0
38,21527,496,5,1
23,35296,115,1,0
45,27183,303,5,1
34,21610,93,6,0
22,44164,146,8,0
48,7913,276,3,0
22,31698,485,3,1
55,47282,428,9,1
20,27670,227,4,0
40,27182,476,4,1
54,29341,356,7,1
54,30778,553,2,1
27,44669,317,8,1
27,11845,57,6,0
36,26129,557,3,1
34,13125,525,9,0
38,36224,346,5,1
31,14388,213,8,0
26,23750,534,7,1
63,6640,121,8,0
18,32332,287,7,1
62,16522,153,3,0
30,3442,259,2,0
21,41946,517,7,1
18,35712,503,3,1
57,10496,317,3,0
49,17582,435,2,0
51,23511,436,4,1
45,46866,308,8,1
48,13361,332,1,0
25,3193,89,1,0
56,11822,535,5,0
43,22142,269,5,1
51,44513,178,1,0
20,47951,569,6,1
29,28187,309,1,1
18,32447,415,5,1
61,33856,593,9,1
22,39314,573,5,1
47,16435,65,6,0
47,28702,178,8,0
34,49001,158,1,0
64,34550,582,2,1
40,32296,318,9,1
32,5726,211,3,0
54,7524,309,6,0
38,12957,151,5,0
31,45023,555,2,1
19,20082,296,7,1
28,11525,586,4,0
56,2080,180,1,0
55,48390,402,4,1
51,26531,245,6,0
55,19540,431,7,0
51,41852,276,7,1
35,17275,525,7,0
47,48751,526,3,1
32,26485,314,6,1
44,38258,421,8,1
51,23119,535,4,1
55,18739,483,8,0
50,20094,260,2,1
41,34475,426,9,1
32,21663,444,9,1
47,39441,499,8,1
59,5876,413,1,0
34,36544,506,2,1
22,3480,275,6,0
46,8811,180,5,0
21,8882,525,9,0
27,17534,326,5,0
34,46865,205,2,0
27,20117,267,4,1
34,30807,239,9,0
37,39210,466,1,1
41,17443,595,1,0
22,38927,90,7,0
51,41752,356,3,1
23,5755,387,2,0
19,44959,363,9,1
30,15351,124,3,0
60,626,328,2,0
60,3324,225,8,0
28,47937,322,6,1
64,11636,338,6,0
40,28641,321,7,1
33,13647,115,7,0
48,34631,532,6,1
28,8812,297,4,0
33,38665,205,9,0
25,9308,96,6,0
21,5209,503,4,0
57,49368,250,3,0
21,35301,173,4,0
42,17067,50,3,0
20,29859,240,2,0
49,20272,565,5,1
20,37035,491,2,1
44,26689,192,6,0
46,30115,240,3,0
49,29109,582,6,1
36,17873,276,9,0
38,41225,362,1,1
22,26243,351,6,1
35,6254,509,9,0
45,21904,450,4,1
59,41788,442,2,1
39,20681,256,4,1
38,30187,259,1,1
23,33081,164,3,0
18,3862,300,9,0
22,46267,268,5,1
58,9868,456,6,0
29,43508,492,3,1
43,39599,403,5,1
63,38659,599,8,1
51,48690,191,6,0
31,8883,550,4,0
43,46489,596,2,1
62,29881,591,9,1
44,30911,556,1,1
26,48887,330,1,1
43,35588,473,4,1
64,9005,319,7,0
39,9227,203,1,0
64,22531,132,9,0
47,49253,475,4,1
60,6468,324,3,0
34,27524,333,1,1
43,46924,222,4,0
53,45104,376,9,1
18,18433,112,6,0
25,23216,122,6,0
52,47319,424,1,1
32,43301,557,2,1
64,15625,447,6,0
39,23498,169,2,0
31,32957,486,3,1
43,10461,514,4,0
45,16469,335,5,0
40,3141,314,9,0
31,205,369,4,0
41,9178,425,9,0
19,25103,138,3,0
62,6190,252,8,0
43,38950,383,1,1
31,49886,271,9,1
24,2025,90,9,0
20,18540,117,2,0
64,39785,563,4,1
40,26115,176,8,0
63,33420,304,7,1
60,25391,65,1,0
64,36779,526,5,1
62,26389,111,7,0
35,3489,481,4,0
55,25783,317,1,1
52,13729,84,9,0
32,24926,543,5,1
42,35298,518,2,1
54,26730,374,8,1
45,33326,353,2,1
27,46263,325,3,1
56,33075,250,1,0
34,999,494,2,0
56,11753,373,7,0
39,28061,84,2,0
43,16505,531,6,0
61,8701,529,3,0
42,33762,114,4,0
34,33382,57,8,0
30,21388,350,3,1
37,29645,392,6,1
42,36977,480,1,1
21,46126,473,7,1
27,15413,381,8,0
20,15449,487,8,0
58,7279,223,3,0
62,10426,576,1,0
35,44655,75,9,0
64,1660,455,6,0
53,13712,281,9,0
64,17750,582,7,0
39,26845,599,1,1
51,31990,554,1,1
64,20122,228,6,0
25,4880,181,5,0
57,18411,504,9,0
61,28480,397,2,1
36,44762,589,8,1
59,2456,455,5,0
58,4890,125,2,0
54,27011,541,6,1
23,49558,243,8,0
43,24463,211,4,0
51,20149,396,2,1
62,10281,410,5,0
23,39925,136,2,0
54,16182,311,2,0
50,761,263,6,0
39,37512,311,9,1
38,48579,332,4,1
23,3020,516,6,0
23,25758,429,7,1
21,48870,411,6,1
47,14125,498,8,0
28,9046,490,4,0
47,28806,142,1,0
48,45600,473,7,1
41,39104,191,3,0
26,16409,340,6,0
20,46386,481,2,1
48,33220,98,9,0
57,30127,351,1,1
54,7105,239,6,0
53,46904,185,6,0
41,49410,453,5,1
48,1056,390,5,0
23,34939,367,1,1
19,8695,412,5,0
37,48008,431,2,1
45,12903,282,7,0
28,26063,393,3,1
21,36321,598,4,1
32,39543,578,3,1
23,33823,232,3,0
47,39163,90,4,0
55,48789,446,5,1
19,15382,543,1,0
32,4803,382,4,0
28,6663,176,8,0
25,25949,50,7,0
43,31960,217,9,0
62,31685,68,5,0
61,22115,381,4,1
22,12103,505,8,0
23,43685,158,9,0
43,27058,317,7,1
21,26117,494,7,1
36,11271,289,5,0
37,45450,350,4,1
50,12301,152,1,0
37,29526,299,7,1
29,17878,502,1,0
64,45341,569,1,1
18,42329,202,5,0
43,21216,223,9,0
31,48464,392,6,1
55,33397,480,3,1
54,19442,373,3,0
28,27590,469,7,1
53,20075,534,6,1
30,26823,461,9,1
60,23379,133,6,0
20,12865,162,5,0
50,46778,381,7,1
23,11661,427,1,0
27,41999,90,7,0
22,625,154,3,0
40,22961,251,9,1
27,49253,499,6,1
61,33242,315,9,1
19,27016,259,5,1
